first_name,last_name,student_id,email,department
Florence,Ansah,12380758,012380758@htu.edu.gh,Marketing
Abena,Nkum,12393423,012393423@htu.edu.gh,Marketing
Afi,Fosu,12349353,012349353@htu.edu.gh,Secretaryship and Management Studies
Ekow,Agyemang,12339550,012339550@htu.edu.gh,Secretaryship and Management Studies
Evelyn,Bannerman,12311701,012311701@htu.edu.gh,Electrical/Electronic Engineering
Elizabeth,Aidoo,12396643,012396643@htu.edu.gh,Mechanical Engineering
Rebecca,Quaye,12310674,012310674@htu.edu.gh,Agribusiness and Food Technology
Mary,Allotey,12392025,012392025@htu.edu.gh,Electrical/Electronic Engineering
Lydia,Kofi,12328894,012328894@htu.edu.gh,Information Technology
Derrick,Addison,12335153,012335153@htu.edu.gh,Building Technology
Derrick,Gyasi,12397645,012397645@htu.edu.gh,Marketing
David,Attah,12389985,012389985@htu.edu.gh,Electrical/Electronic Engineering
Blessing,Gyasi,12318617,012318617@htu.edu.gh,Agribusiness and Food Technology
Kofi,Danquah,12366678,012366678@htu.edu.gh,Fashion Design and Textiles
Yaw,Baffour,12366287,012366287@htu.edu.gh,Accountancy
Kwame,Ansah,12337925,012337925@htu.edu.gh,Hospitality and Tourism Management
Yaw,Awuah,12394556,012394556@htu.edu.gh,Hospitality and Tourism Management
Gideon,Asare,12337163,012337163@htu.edu.gh,Fashion Design and Textiles
Evelyn,Donkor,12390657,012390657@htu.edu.gh,Accountancy
Derrick,Bannerman,12390461,012390461@htu.edu.gh,Building Technology
Ama,Inkoom,12356786,012356786@htu.edu.gh,Civil Engineering
Akua,Benson,12324251,012324251@htu.edu.gh,Computer Science
Thomas,Addison,12318601,012318601@htu.edu.gh,Marketing
Abena,Duku,12362723,012362723@htu.edu.gh,Agribusiness and Food Technology
Elizabeth,Mensah,12325105,012325105@htu.edu.gh,Building Technology
Charles,Arthur,12392579,012392579@htu.edu.gh,Marketing
Akosua,Oppong,12325304,012325304@htu.edu.gh,Secretaryship and Management Studies
Afi,Allotey,12336998,012336998@htu.edu.gh,Hospitality and Tourism Management
Kwame,Osei,12310706,012310706@htu.edu.gh,Mechanical Engineering
Grace,Amponsah,12366354,012366354@htu.edu.gh,Accountancy
Irene,Eshun,12376115,012376115@htu.edu.gh,Accountancy
Grace,Oppong,12369209,012369209@htu.edu.gh,Electrical/Electronic Engineering
Abena,Dadzie,12395338,012395338@htu.edu.gh,Information Technology
Sarah,Quaye,12364441,012364441@htu.edu.gh,Accountancy
Yaa,Agyemang,12366869,012366869@htu.edu.gh,Civil Engineering
Janet,Aidoo,12366096,012366096@htu.edu.gh,Hospitality and Tourism Management
Yaa,Acquah,12329726,012329726@htu.edu.gh,Mechanical Engineering
Akua,Antwi,12384365,012384365@htu.edu.gh,Electrical/Electronic Engineering
Dorothy,Tetteh,12341000,012341000@htu.edu.gh,Fashion Design and Textiles
Janet,Osei,12321633,012321633@htu.edu.gh,Computer Science
Elizabeth,Oppong,12348302,012348302@htu.edu.gh,Secretaryship and Management Studies
Florence,Ofori,12338995,012338995@htu.edu.gh,Secretaryship and Management Studies
Akua,Allotey,12398770,012398770@htu.edu.gh,Civil Engineering
Peter,Bannerman,12324245,012324245@htu.edu.gh,Computer Science
Francis,Owusu,12373714,012373714@htu.edu.gh,Marketing
Prince,Benson,12376728,012376728@htu.edu.gh,Building Technology
Mercy,Quaye,12380290,012380290@htu.edu.gh,Agribusiness and Food Technology
Kwasi,Addison,12399244,012399244@htu.edu.gh,Civil Engineering
Kofi,Arthur,12325108,012325108@htu.edu.gh,Hospitality and Tourism Management
Afi,Kofi,12349910,012349910@htu.edu.gh,Fashion Design and Textiles
